route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
02_2,FULLW,02_2_PM_38,,,,shape_120
02_2,FULLW,02_2_PM_39,,,,shape_121
02_2,FULLW,02_2_PM_40,,,,shape_122
03A_1,FULLW,03A_1_PM_1,,,,shape_123
03A_1,FULLW,03A_1_PM_2,,,,shape_124
03A_1,FULLW,03A_1_PM_3,,,,shape_125
03A_1,FULLW,03A_1_PM_4,,,,shape_126
03A_1,FULLW,03A_1_PM_5,,,,shape_127
03A_1,FULLW,03A_1_PM_6,,,,shape_128
03A_1,FULLW,03A_1_PM_7,,,,shape_129
03A_1,FULLW,03A_1_PM_8,,,,shape_130
03A_1,FULLW,03A_1_PM_9,,,,shape_131
03A_1,FULLW,03A_1_PM_10,,,,shape_132
03A_1,FULLW,03A_1_PM_11,,,,shape_133
03A_1,FULLW,03A_1_PM_12,,,,shape_134
03A_1,FULLW,03A_1_PM_13,,,,shape_135
03A_1,FULLW,03A_1_PM_14,,,,shape_136
03A_1,FULLW,03A_1_PM_15,,,,shape_137
03A_1,FULLW,03A_1_PM_16,,,,shape_138
03A_1,FULLW,03A_1_PM_17,,,,shape_139
03A_1,FULLW,03A_1_PM_18,,,,shape_140
03A_1,FULLW,03A_1_PM_19,,,,shape_141
03A_1,FULLW,03A_1_PM_20,,,,shape_142
03A_1,FULLW,03A_1_PM_21,,,,shape_143
03A_2,FULLW,03A_2_PM_1,,,,shape_144
03A_2,FULLW,03A_2_PM_2,,,,shape_145
03A_2,FULLW,03A_2_PM_3,,,,shape_146
03A_2,FULLW,03A_2_PM_4,,,,shape_147
03A_2,FULLW,03A_2_PM_5,,,,shape_148
03A_2,FULLW,03A_2_PM_6,,,,shape_149
03A_2,FULLW,03A_2_PM_7,,,,shape_150
03A_2,FULLW,03A_2_PM_8,,,,shape_151
03A_2,FULLW,03A_2_PM_9,,,,shape_152
03A_2,FULLW,03A_2_PM_10,,,,shape_153
03A_2,FULLW,03A_2_PM_11,,,,shape_154
03A_2,FULLW,03A_2_PM_12,,,,shape_155
03A_2,FULLW,03A_2_PM_13,,,,shape_156
